ID,TypeNum,Gem_Name,Sprite_Name,Level,Cost,Amount
0,1,모찌냥,Work_Cat,1,0,1
1,1,모찌냥,Work_Cat,2,10,2
2,1,모찌냥,Work_Cat,3,20,4
3,1,모찌냥,Work_Cat,4,30,8
4,1,모찌냥,Work_Cat,5,40,16
5,2,모찌묘,Work_Rabbit,1,0,32
6,2,모찌묘,Work_Rabbit,2,10,64
7,2,모찌묘,Work_Rabbit,3,20,128
8,2,모찌묘,Work_Rabbit,4,30,256
9,2,모찌묘,Work_Rabbit,5,40,512
10,3,모찌도치,Work_Hedgehog,1,0,1024
11,3,모찌도치,Work_Hedgehog,2,10,2048
12,3,모찌도치,Work_Hedgehog,3,20,4096
13,3,모찌도치,Work_Hedgehog,4,30,8192
14,3,모찌도치,Work_Hedgehog,5,40,16384
15,4,모찌두,Work_Mole,1,0,32768
16,4,모찌두,Work_Mole,2,10,65536
17,4,모찌두,Work_Mole,3,20,131072
18,4,모찌두,Work_Mole,4,30,262144
19,4,모찌두,Work_Mole,5,40,524288
20,5,모찌멍,Work_Dog,1,0,1048576
21,5,모찌멍,Work_Dog,2,10,2097152
22,5,모찌멍,Work_Dog,3,20,4194304
23,5,모찌멍,Work_Dog,4,30,8388608
24,5,모찌멍,Work_Dog,5,40,16777216
25,6,모찌호,Work_Fox,1,0,33554432
26,6,모찌호,Work_Fox,2,10,67108864
27,6,모찌호,Work_Fox,3,20,134217728
28,6,모찌호,Work_Fox,4,30,268435456
29,6,모찌호,Work_Fox,5,40,536870912
30,7,모찌라니,Work_Elk,1,0,1073741824
31,7,모찌라니,Work_Elk,2,10,2147483648
32,7,모찌라니,Work_Elk,3,20,4294967296
33,7,모찌라니,Work_Elk,4,30,8589934592
34,7,모찌라니,Work_Elk,5,40,17179869184
35,8,모찌용,Work_Dragon,1,0,34359738368
36,8,모찌용,Work_Dragon,2,10,68719476736
37,8,모찌용,Work_Dragon,3,20,137439000000
38,8,모찌용,Work_Dragon,4,30,274878000000
39,8,모찌용,Work_Dragon,5,40,549756000000
